"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M03","Bulgaria","Total","Total","From 18 to 34 years","Asylum applicant","Person","700"
"2015M03","Bulgaria","Total","Total","From 18 to 34 years","First time applicant","Person","695"
"2015M03","Bulgaria","Total","Total","From 35 to 64 years","Asylum applicant","Person","160"
"2015M03","Bulgaria","Total","Total","From 35 to 64 years","First time applicant","Person","160"
"2015M03","Bulgaria","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Bulgaria","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Czech Republic","Total","Total","Less than 14 years","Asylum applicant","Person","35"
"2015M03","Czech Republic","Total","Total","Less than 14 years","First time applicant","Person","30"
"2015M03","Czech Republic","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Czech Republic","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Czech Republic","Total","Total","From 18 to 34 years","Asylum applicant","Person","90"
"2015M03","Czech Republic","Total","Total","From 18 to 34 years","First time applicant","Person","75"
"2015M03","Czech Republic","Total","Total","From 35 to 64 years","Asylum applicant","Person","75"
"2015M03","Czech Republic","Total","Total","From 35 to 64 years","First time applicant","Person","60"
"2015M03","Czech Republic","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Czech Republic","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Denmark","Total","Total","Less than 14 years","Asylum applicant","Person","65"
"2015M03","Denmark","Total","Total","Less than 14 years","First time applicant","Person","60"
"2015M03","Denmark","Total","Total","From 14 to 17 years","Asylum applicant","Person","40"
"2015M03","Denmark","Total","Total","From 14 to 17 years","First time applicant","Person","35"
"2015M03","Denmark","Total","Total","From 18 to 34 years","Asylum applicant","Person","255"
"2015M03","Denmark","Total","Total","From 18 to 34 years","First time applicant","Person","255"
"2015M03","Denmark","Total","Total","From 35 to 64 years","Asylum applicant","Person","105"
"2015M03","Denmark","Total","Total","From 35 to 64 years","First time applicant","Person","100"
"2015M03","Denmark","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M03","Denmark","Total","Total","65 years or over","First time applicant","Person","5"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","Less than 14 years","Asylum applicant","Person","8 590"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","Less than 14 years","First time applicant","Person","7 690"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 14 to 17 years","Asylum applicant","Person","2 435"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 14 to 17 years","First time applicant","Person","2 185"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 18 to 34 years","Asylum applicant","Person","16 145"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 18 to 34 years","First time applicant","Person","14 685"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 35 to 64 years","Asylum applicant","Person","6 535"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","From 35 to 64 years","First time applicant","Person","5 295"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","65 years or over","Asylum applicant","Person","180"
"2015M03","Germany (until 1990 former territory of the FRG)","Total","Total","65 years or over","First time applicant","Person","155"
"2015M03","Estonia","Total","Total","Less than 14 years","Asylum applicant","Person","10"
"2015M03","Estonia","Total","Total","Less than 14 years","First time applicant","Person","10"
"2015M03","Estonia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Estonia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Estonia","Total","Total","From 18 to 34 years","Asylum applicant","Person","15"
"2015M03","Estonia","Total","Total","From 18 to 34 years","First time applicant","Person","15"
"2015M03","Estonia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Estonia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M03","Estonia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Estonia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Ireland","Total","Total","Less than 14 years","Asylum applicant","Person","15"
"2015M03","Ireland","Total","Total","Less than 14 years","First time applicant","Person","15"
"2015M03","Ireland","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Ireland","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Ireland","Total","Total","From 18 to 34 years","Asylum applicant","Person","150"
"2015M03","Ireland","Total","Total","From 18 to 34 years","First time applicant","Person","150"
"2015M03","Ireland","Total","Total","From 35 to 64 years","Asylum applicant","Person","45"
"2015M03","Ireland","Total","Total","From 35 to 64 years","First time applicant","Person","45"
"2015M03","Ireland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Ireland","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Greece","Total","Total","Less than 14 years","Asylum applicant","Person","115"
"2015M03","Greece","Total","Total","Less than 14 years","First time applicant","Person","110"
"2015M03","Greece","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M03","Greece","Total","Total","From 14 to 17 years","First time applicant","Person","60"
"2015M03","Greece","Total","Total","From 18 to 34 years","Asylum applicant","Person","535"
"2015M03","Greece","Total","Total","From 18 to 34 years","First time applicant","Person","460"
"2015M03","Greece","Total","Total","From 35 to 64 years","Asylum applicant","Person","200"
"2015M03","Greece","Total","Total","From 35 to 64 years","First time applicant","Person","165"
"2015M03","Greece","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Greece","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Spain","Total","Total","Less than 14 years","Asylum applicant","Person","320"
"2015M03","Spain","Total","Total","Less than 14 years","First time applicant","Person","315"
"2015M03","Spain","Total","Total","From 14 to 17 years","Asylum applicant","Person","65"
"2015M03","Spain","Total","Total","From 14 to 17 years","First time applicant","Person","65"
"2015M03","Spain","Total","Total","From 18 to 34 years","Asylum applicant","Person","600"
"2015M03","Spain","Total","Total","From 18 to 34 years","First time applicant","Person","585"
"2015M03","Spain","Total","Total","From 35 to 64 years","Asylum applicant","Person","250"
"2015M03","Spain","Total","Total","From 35 to 64 years","First time applicant","Person","240"
"2015M03","Spain","Total","Total","65 years or over","Asylum applicant","Person","15"
"2015M03","Spain","Total","Total","65 years or over","First time applicant","Person","15"
"2015M03","France","Total","Total","Less than 14 years","Asylum applicant","Person","1 050"
"2015M03","France","Total","Total","Less than 14 years","First time applicant","Person","1 045"
"2015M03","France","Total","Total","From 14 to 17 years","Asylum applicant","Person","145"
"2015M03","France","Total","Total","From 14 to 17 years","First time applicant","Person","145"
"2015M03","France","Total","Total","From 18 to 34 years","Asylum applicant","Person","3 140"
"2015M03","France","Total","Total","From 18 to 34 years","First time applicant","Person","2 865"
"2015M03","France","Total","Total","From 35 to 64 years","Asylum applicant","Person","1 680"
"2015M03","France","Total","Total","From 35 to 64 years","First time applicant","Person","1 480"
"2015M03","France","Total","Total","65 years or over","Asylum applicant","Person","80"
"2015M03","France","Total","Total","65 years or over","First time applicant","Person","75"
"2015M03","Croatia","Total","Total","Less than 14 years","Asylum applicant","Person","5"
"2015M03","Croatia","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M03","Croatia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Croatia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Croatia","Total","Total","From 18 to 34 years","Asylum applicant","Person","10"
"2015M03","Croatia","Total","Total","From 18 to 34 years","First time applicant","Person","5"
"2015M03","Croatia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Croatia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M03","Croatia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Croatia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Italy","Total","Total","Less than 14 years","Asylum applicant","Person","195"
"2015M03","Italy","Total","Total","Less than 14 years","First time applicant","Person","190"
"2015M03","Italy","Total","Total","From 14 to 17 years","Asylum applicant","Person","365"
"2015M03","Italy","Total","Total","From 14 to 17 years","First time applicant","Person","365"
"2015M03","Italy","Total","Total","From 18 to 34 years","Asylum applicant","Person","4 350"
"2015M03","Italy","Total","Total","From 18 to 34 years","First time applicant","Person","4 300"
"2015M03","Italy","Total","Total","From 35 to 64 years","Asylum applicant","Person","590"
"2015M03","Italy","Total","Total","From 35 to 64 years","First time applicant","Person","575"
"2015M03","Italy","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Italy","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Cyprus","Total","Total","Less than 14 years","Asylum applicant","Person","25"
"2015M03","Cyprus","Total","Total","Less than 14 years","First time applicant","Person","25"
"2015M03","Cyprus","Total","Total","From 14 to 17 years","Asylum applicant","Person","15"
"2015M03","Cyprus","Total","Total","From 14 to 17 years","First time applicant","Person","15"
"2015M03","Cyprus","Total","Total","From 18 to 34 years","Asylum applicant","Person","85"
"2015M03","Cyprus","Total","Total","From 18 to 34 years","First time applicant","Person","70"
"2015M03","Cyprus","Total","Total","From 35 to 64 years","Asylum applicant","Person","35"
"2015M03","Cyprus","Total","Total","From 35 to 64 years","First time applicant","Person","35"
"2015M03","Cyprus","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Cyprus","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Latvia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M03","Latvia","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M03","Latvia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Latvia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Latvia","Total","Total","From 18 to 34 years","Asylum applicant","Person","10"
"2015M03","Latvia","Total","Total","From 18 to 34 years","First time applicant","Person","10"
"2015M03","Latvia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Latvia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M03","Latvia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Latvia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Lithuania","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M03","Lithuania","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M03","Lithuania","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Lithuania","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Lithuania","Total","Total","From 18 to 34 years","Asylum applicant","Person","10"
"2015M03","Lithuania","Total","Total","From 18 to 34 years","First time applicant","Person","5"
"2015M03","Lithuania","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Lithuania","Total","Total","From 35 to 64 years","First time applicant","Person","0"
"2015M03","Lithuania","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Lithuania","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Luxembourg","Total","Total","Less than 14 years","Asylum applicant","Person","35"
"2015M03","Luxembourg","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M03","Luxembourg","Total","Total","From 14 to 17 years","Asylum applicant","Person","10"
"2015M03","Luxembourg","Total","Total","From 14 to 17 years","First time applicant","Person","10"
"2015M03","Luxembourg","Total","Total","From 18 to 34 years","Asylum applicant","Person","40"
"2015M03","Luxembourg","Total","Total","From 18 to 34 years","First time applicant","Person","35"
"2015M03","Luxembourg","Total","Total","From 35 to 64 years","Asylum applicant","Person","20"
"2015M03","Luxembourg","Total","Total","From 35 to 64 years","First time applicant","Person","20"
"2015M03","Luxembourg","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Luxembourg","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Hungary","Total","Total","Less than 14 years","Asylum applicant","Person","380"
"2015M03","Hungary","Total","Total","Less than 14 years","First time applicant","Person","360"
"2015M03","Hungary","Total","Total","From 14 to 17 years","Asylum applicant","Person","325"
"2015M03","Hungary","Total","Total","From 14 to 17 years","First time applicant","Person","320"
"2015M03","Hungary","Total","Total","From 18 to 34 years","Asylum applicant","Person","3 555"
"2015M03","Hungary","Total","Total","From 18 to 34 years","First time applicant","Person","3 445"
"2015M03","Hungary","Total","Total","From 35 to 64 years","Asylum applicant","Person","660"
"2015M03","Hungary","Total","Total","From 35 to 64 years","First time applicant","Person","620"
"2015M03","Hungary","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M03","Hungary","Total","Total","65 years or over","First time applicant","Person","5"
"2015M03","Malta","Total","Total","Less than 14 years","Asylum applicant","Person","15"
"2015M03","Malta","Total","Total","Less than 14 years","First time applicant","Person","15"
"2015M03","Malta","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M03","Malta","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M03","Malta","Total","Total","From 18 to 34 years","Asylum applicant","Person","70"
"2015M03","Malta","Total","Total","From 18 to 34 years","First time applicant","Person","65"
"2015M03","Malta","Total","Total","From 35 to 64 years","Asylum applicant","Person","35"
"2015M03","Malta","Total","Total","From 35 to 64 years","First time applicant","Person","35"
"2015M03","Malta","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Malta","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Netherlands","Total","Total","Less than 14 years","Asylum applicant","Person","165"
"2015M03","Netherlands","Total","Total","Less than 14 years","First time applicant","Person","130"
"2015M03","Netherlands","Total","Total","From 14 to 17 years","Asylum applicant","Person","65"
"2015M03","Netherlands","Total","Total","From 14 to 17 years","First time applicant","Person","65"
"2015M03","Netherlands","Total","Total","From 18 to 34 years","Asylum applicant","Person","515"
"2015M03","Netherlands","Total","Total","From 18 to 34 years","First time applicant","Person","410"
"2015M03","Netherlands","Total","Total","From 35 to 64 years","Asylum applicant","Person","235"
"2015M03","Netherlands","Total","Total","From 35 to 64 years","First time applicant","Person","190"
"2015M03","Netherlands","Total","Total","65 years or over","Asylum applicant","Person","10"
"2015M03","Netherlands","Total","Total","65 years or over","First time applicant","Person","10"
"2015M03","Austria","Total","Total","Less than 14 years","Asylum applicant","Person","575"
"2015M03","Austria","Total","Total","Less than 14 years","First time applicant","Person","570"
"2015M03","Austria","Total","Total","From 14 to 17 years","Asylum applicant","Person","390"
"2015M03","Austria","Total","Total","From 14 to 17 years","First time applicant","Person","390"
"2015M03","Austria","Total","Total","From 18 to 34 years","Asylum applicant","Person","1 495"
"2015M03","Austria","Total","Total","From 18 to 34 years","First time applicant","Person","1 395"
"2015M03","Austria","Total","Total","From 35 to 64 years","Asylum applicant","Person","450"
"2015M03","Austria","Total","Total","From 35 to 64 years","First time applicant","Person","410"
"2015M03","Austria","Total","Total","65 years or over","Asylum applicant","Person","10"
"2015M03","Austria","Total","Total","65 years or over","First time applicant","Person","10"
"2015M03","Poland","Total","Total","Less than 14 years","Asylum applicant","Person","225"
"2015M03","Poland","Total","Total","Less than 14 years","First time applicant","Person","175"
"2015M03","Poland","Total","Total","From 14 to 17 years","Asylum applicant","Person","15"
"2015M03","Poland","Total","Total","From 14 to 17 years","First time applicant","Person","10"
"2015M03","Poland","Total","Total","From 18 to 34 years","Asylum applicant","Person","250"
"2015M03","Poland","Total","Total","From 18 to 34 years","First time applicant","Person","190"
"2015M03","Poland","Total","Total","From 35 to 64 years","Asylum applicant","Person","135"
"2015M03","Poland","Total","Total","From 35 to 64 years","First time applicant","Person","105"
"2015M03","Poland","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M03","Poland","Total","Total","65 years or over","First time applicant","Person","5"
"2015M03","Portugal","Total","Total","Less than 14 years","Asylum applicant","Person","10"
"2015M03","Portugal","Total","Total","Less than 14 years","First time applicant","Person","10"
"2015M03","Portugal","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Portugal","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Portugal","Total","Total","From 18 to 34 years","Asylum applicant","Person","40"
"2015M03","Portugal","Total","Total","From 18 to 34 years","First time applicant","Person","40"
"2015M03","Portugal","Total","Total","From 35 to 64 years","Asylum applicant","Person","10"
"2015M03","Portugal","Total","Total","From 35 to 64 years","First time applicant","Person","10"
"2015M03","Portugal","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Portugal","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Romania","Total","Total","Less than 14 years","Asylum applicant","Person","15"
"2015M03","Romania","Total","Total","Less than 14 years","First time applicant","Person","15"
"2015M03","Romania","Total","Total","From 14 to 17 years","Asylum applicant","Person","15"
"2015M03","Romania","Total","Total","From 14 to 17 years","First time applicant","Person","15"
"2015M03","Romania","Total","Total","From 18 to 34 years","Asylum applicant","Person","90"
"2015M03","Romania","Total","Total","From 18 to 34 years","First time applicant","Person","85"
"2015M03","Romania","Total","Total","From 35 to 64 years","Asylum applicant","Person","45"
"2015M03","Romania","Total","Total","From 35 to 64 years","First time applicant","Person","40"
"2015M03","Romania","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Romania","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Slovenia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M03","Slovenia","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M03","Slovenia","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M03","Slovenia","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M03","Slovenia","Total","Total","From 18 to 34 years","Asylum applicant","Person","15"
"2015M03","Slovenia","Total","Total","From 18 to 34 years","First time applicant","Person","15"
"2015M03","Slovenia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Slovenia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M03","Slovenia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Slovenia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Slovakia","Total","Total","Less than 14 years","Asylum applicant","Person","10"
"2015M03","Slovakia","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M03","Slovakia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Slovakia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M03","Slovakia","Total","Total","From 18 to 34 years","Asylum applicant","Person","20"
"2015M03","Slovakia","Total","Total","From 18 to 34 years","First time applicant","Person","15"
"2015M03","Slovakia","Total","Total","From 35 to 64 years","Asylum applicant","Person","10"
"2015M03","Slovakia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M03","Slovakia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Slovakia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Finland","Total","Total","Less than 14 years","Asylum applicant","Person","35"
"2015M03","Finland","Total","Total","Less than 14 years","First time applicant","Person","35"
"2015M03","Finland","Total","Total","From 14 to 17 years","Asylum applicant","Person","40"
"2015M03","Finland","Total","Total","From 14 to 17 years","First time applicant","Person","40"
"2015M03","Finland","Total","Total","From 18 to 34 years","Asylum applicant","Person","210"
"2015M03","Finland","Total","Total","From 18 to 34 years","First time applicant","Person","205"
"2015M03","Finland","Total","Total","From 35 to 64 years","Asylum applicant","Person","65"
"2015M03","Finland","Total","Total","From 35 to 64 years","First time applicant","Person","60"
"2015M03","Finland","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M03","Finland","Total","Total","65 years or over","First time applicant","Person","5"
"2015M03","Sweden","Total","Total","Less than 14 years","Asylum applicant","Person","785"
"2015M03","Sweden","Total","Total","Less than 14 years","First time applicant","Person","710"
"2015M03","Sweden","Total","Total","From 14 to 17 years","Asylum applicant","Person","525"
"2015M03","Sweden","Total","Total","From 14 to 17 years","First time applicant","Person","505"
"2015M03","Sweden","Total","Total","From 18 to 34 years","Asylum applicant","Person","1 790"
"2015M03","Sweden","Total","Total","From 18 to 34 years","First time applicant","Person","1 505"
"2015M03","Sweden","Total","Total","From 35 to 64 years","Asylum applicant","Person","955"
"2015M03","Sweden","Total","Total","From 35 to 64 years","First time applicant","Person","795"
"2015M03","Sweden","Total","Total","65 years or over","Asylum applicant","Person","65"
"2015M03","Sweden","Total","Total","65 years or over","First time applicant","Person","50"
"2015M03","United Kingdom","Total","Total","Less than 14 years","Asylum applicant","Person","320"
"2015M03","United Kingdom","Total","Total","Less than 14 years","First time applicant","Person","315"
"2015M03","United Kingdom","Total","Total","From 14 to 17 years","Asylum applicant","Person","200"
"2015M03","United Kingdom","Total","Total","From 14 to 17 years","First time applicant","Person","195"
"2015M03","United Kingdom","Total","Total","From 18 to 34 years","Asylum applicant","Person","1 340"
"2015M03","United Kingdom","Total","Total","From 18 to 34 years","First time applicant","Person","1 320"
"2015M03","United Kingdom","Total","Total","From 35 to 64 years","Asylum applicant","Person","515"
"2015M03","United Kingdom","Total","Total","From 35 to 64 years","First time applicant","Person","510"
"2015M03","United Kingdom","Total","Total","65 years or over","Asylum applicant","Person","20"
"2015M03","United Kingdom","Total","Total","65 years or over","First time applicant","Person","20"
"2015M03","Iceland","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M03","Iceland","Total","Total","Less than 14 years","First time applicant","Person",":"
"2015M03","Iceland","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Iceland","Total","Total","From 14 to 17 years","First time applicant","Person",":"
"2015M03","Iceland","Total","Total","From 18 to 34 years","Asylum applicant","Person","5"
"2015M03","Iceland","Total","Total","From 18 to 34 years","First time applicant","Person",":"
"2015M03","Iceland","Total","Total","From 35 to 64 years","Asylum applicant","Person","0"
"2015M03","Iceland","Total","Total","From 35 to 64 years","First time applicant","Person",":"
"2015M03","Iceland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Iceland","Total","Total","65 years or over","First time applicant","Person",":"
"2015M03","Liechtenstein","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M03","Liechtenstein","Total","Total","Less than 14 years","First time applicant","Person",":"
"2015M03","Liechtenstein","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M03","Liechtenstein","Total","Total","From 14 to 17 years","First time applicant","Person",":"
"2015M03","Liechtenstein","Total","Total","From 18 to 34 years","Asylum applicant","Person","5"
"2015M03","Liechtenstein","Total","Total","From 18 to 34 years","First time applicant","Person",":"
"2015M03","Liechtenstein","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M03","Liechtenstein","Total","Total","From 35 to 64 years","First time applicant","Person",":"
"2015M03","Liechtenstein","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Liechtenstein","Total","Total","65 years or over","First time applicant","Person",":"
"2015M03","Norway","Total","Total","Less than 14 years","Asylum applicant","Person","75"
"2015M03","Norway","Total","Total","Less than 14 years","First time applicant","Person","70"
"2015M03","Norway","Total","Total","From 14 to 17 years","Asylum applicant","Person","80"
"2015M03","Norway","Total","Total","From 14 to 17 years","First time applicant","Person","80"
"2015M03","Norway","Total","Total","From 18 to 34 years","Asylum applicant","Person","285"
"2015M03","Norway","Total","Total","From 18 to 34 years","First time applicant","Person","255"
"2015M03","Norway","Total","Total","From 35 to 64 years","Asylum applicant","Person","95"
"2015M03","Norway","Total","Total","From 35 to 64 years","First time applicant","Person","80"
"2015M03","Norway","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M03","Norway","Total","Total","65 years or over","First time applicant","Person","0"
"2015M03","Switzerland","Total","Total","Less than 14 years","Asylum applicant","Person","385"
"2015M03","Switzerland","Total","Total","Less than 14 years","First time applicant","Person","365"
"2015M03","Switzerland","Total","Total","From 14 to 17 years","Asylum applicant","Person","75"
"2015M03","Switzerland","Total","Total","From 14 to 17 years","First time applicant","Person","75"
"2015M03","Switzerland","Total","Total","From 18 to 34 years","Asylum applicant","Person","785"
"2015M03","Switzerland","Total","Total","From 18 to 34 years","First time applicant","Person","735"
"2015M03","Switzerland","Total","Total","From 35 to 64 years","Asylum applicant","Person","245"
"2015M03","Switzerland","Total","Total","From 35 to 64 years","First time applicant","Person","200"
"2015M03","Switzerland","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M03","Switzerland","Total","Total","65 years or over","First time applicant","Person","5"
"2015M04","European Union (28 countries)","Total","Total","Less than 14 years","Asylum applicant","Person","12 395"
"2015M04","European Union (28 countries)","Total","Total","Less than 14 years","First time applicant","Person","11 295"
"2015M04","European Union (28 countries)","Total","Total","From 14 to 17 years","Asylum applicant","Person","4 675"
"2015M04","European Union (28 countries)","Total","Total","From 14 to 17 years","First time applicant","Person","4 385"
"2015M04","European Union (28 countries)","Total","Total","From 18 to 34 years","Asylum applicant","Person","34 900"
"2015M04","European Union (28 countries)","Total","Total","From 18 to 34 years","First time applicant","Person","32 385"
"2015M04","European Union (28 countries)","Total","Total","From 35 to 64 years","Asylum applicant","Person","12 345"
"2015M04","European Union (28 countries)","Total","Total","From 35 to 64 years","First time applicant","Person","10 625"
"2015M04","European Union (28 countries)","Total","Total","65 years or over","Asylum applicant","Person","425"
"2015M04","European Union (28 countries)","Total","Total","65 years or over","First time applicant","Person","380"
"2015M04","Belgium","Total","Total","Less than 14 years","Asylum applicant","Person","320"
"2015M04","Belgium","Total","Total","Less than 14 years","First time applicant","Person","215"
"2015M04","Belgium","Total","Total","From 14 to 17 years","Asylum applicant","Person","130"
"2015M04","Belgium","Total","Total","From 14 to 17 years","First time applicant","Person","105"
"2015M04","Belgium","Total","Total","From 18 to 34 years","Asylum applicant","Person","770"
"2015M04","Belgium","Total","Total","From 18 to 34 years","First time applicant","Person","535"
"2015M04","Belgium","Total","Total","From 35 to 64 years","Asylum applicant","Person","400"
"2015M04","Belgium","Total","Total","From 35 to 64 years","First time applicant","Person","250"
"2015M04","Belgium","Total","Total","65 years or over","Asylum applicant","Person","10"
"2015M04","Belgium","Total","Total","65 years or over","First time applicant","Person","10"
"2015M04","Bulgaria","Total","Total","Less than 14 years","Asylum applicant","Person","150"
"2015M04","Bulgaria","Total","Total","Less than 14 years","First time applicant","Person","150"
"2015M04","Bulgaria","Total","Total","From 14 to 17 years","Asylum applicant","Person","130"
"2015M04","Bulgaria","Total","Total","From 14 to 17 years","First time applicant","Person","125"
"2015M04","Bulgaria","Total","Total","From 18 to 34 years","Asylum applicant","Person","675"
"2015M04","Bulgaria","Total","Total","From 18 to 34 years","First time applicant","Person","670"
"2015M04","Bulgaria","Total","Total","From 35 to 64 years","Asylum applicant","Person","170"
"2015M04","Bulgaria","Total","Total","From 35 to 64 years","First time applicant","Person","165"
"2015M04","Bulgaria","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M04","Bulgaria","Total","Total","65 years or over","First time applicant","Person","5"
"2015M04","Czech Republic","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M04","Czech Republic","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M04","Czech Republic","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M04","Czech Republic","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M04","Czech Republic","Total","Total","From 18 to 34 years","Asylum applicant","Person","50"
"2015M04","Czech Republic","Total","Total","From 18 to 34 years","First time applicant","Person","40"
"2015M04","Czech Republic","Total","Total","From 35 to 64 years","Asylum applicant","Person","55"
"2015M04","Czech Republic","Total","Total","From 35 to 64 years","First time applicant","Person","40"
"2015M04","Czech Republic","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M04","Czech Republic","Total","Total","65 years or over","First time applicant","Person","0"
"2015M04","Denmark","Total","Total","Less than 14 years","Asylum applicant","Person","70"
"2015M04","Denmark","Total","Total","Less than 14 years","First time applicant","Person","70"
"2015M04","Denmark","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M04","Denmark","Total","Total","From 14 to 17 years","First time applicant","Person","60"
"2015M04","Denmark","Total","Total","From 18 to 34 years","Asylum applicant","Person","285"
