"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","Estonia","Total","Total","From 18 to 34 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","From 18 to 34 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","From 35 to 64 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","From 35 to 64 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Ireland","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M01","Ireland","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M01","Ireland","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M01","Ireland","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M01","Ireland","Total","Total","From 18 to 34 years","Asylum applicant","Person","150"
"2015M01","Ireland","Total","Total","From 18 to 34 years","First time applicant","Person","150"
"2015M01","Ireland","Total","Total","From 35 to 64 years","Asylum applicant","Person","35"
"2015M01","Ireland","Total","Total","From 35 to 64 years","First time applicant","Person","35"
"2015M01","Ireland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Ireland","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Greece","Total","Total","Less than 14 years","Asylum applicant","Person","90"
"2015M01","Greece","Total","Total","Less than 14 years","First time applicant","Person","90"
"2015M01","Greece","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M01","Greece","Total","Total","From 14 to 17 years","First time applicant","Person","60"
"2015M01","Greece","Total","Total","From 18 to 34 years","Asylum applicant","Person","695"
"2015M01","Greece","Total","Total","From 18 to 34 years","First time applicant","Person","600"
"2015M01","Greece","Total","Total","From 35 to 64 years","Asylum applicant","Person","210"
"2015M01","Greece","Total","Total","From 35 to 64 years","First time applicant","Person","165"
"2015M01","Greece","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Greece","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Spain","Total","Total","Less than 14 years","Asylum applicant","Person","175"
"2015M01","Spain","Total","Total","Less than 14 years","First time applicant","Person","175"
"2015M01","Spain","Total","Total","From 14 to 17 years","Asylum applicant","Person","30"
"2015M01","Spain","Total","Total","From 14 to 17 years","First time applicant","Person","30"
"2015M01","Spain","Total","Total","From 18 to 34 years","Asylum applicant","Person","435"
"2015M01","Spain","Total","Total","From 18 to 34 years","First time applicant","Person","430"
"2015M01","Spain","Total","Total","From 35 to 64 years","Asylum applicant","Person","200"
"2015M01","Spain","Total","Total","From 35 to 64 years","First time applicant","Person","195"
"2015M01","Spain","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Spain","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","France","Total","Total","Less than 14 years","Asylum applicant","Person","705"
"2015M01","France","Total","Total","Less than 14 years","First time applicant","Person","705"
"2015M01","France","Total","Total","From 14 to 17 years","Asylum applicant","Person","120"
"2015M01","France","Total","Total","From 14 to 17 years","First time applicant","Person","120"
"2015M01","France","Total","Total","From 18 to 34 years","Asylum applicant","Person","2 190"
"2015M01","France","Total","Total","From 18 to 34 years","First time applicant","Person","1 965"
"2015M01","France","Total","Total","From 35 to 64 years","Asylum applicant","Person","1 365"
"2015M01","France","Total","Total","From 35 to 64 years","First time applicant","Person","1 180"
"2015M01","France","Total","Total","65 years or over","Asylum applicant","Person","60"
"2015M01","France","Total","Total","65 years or over","First time applicant","Person","55"
"2015M01","Croatia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M01","Croatia","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M01","Croatia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Croatia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Croatia","Total","Total","From 18 to 34 years","Asylum applicant","Person","20"
"2015M01","Croatia","Total","Total","From 18 to 34 years","First time applicant","Person","10"
"2015M01","Croatia","Total","Total","From 35 to 64 years","Asylum applicant","Person","0"
"2015M01","Croatia","Total","Total","From 35 to 64 years","First time applicant","Person","0"
"2015M01","Croatia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Croatia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Italy","Total","Total","Less than 14 years","Asylum applicant","Person","150"
"2015M01","Italy","Total","Total","Less than 14 years","First time applicant","Person","150"
"2015M01","Italy","Total","Total","From 14 to 17 years","Asylum applicant","Person","250"
"2015M01","Italy","Total","Total","From 14 to 17 years","First time applicant","Person","250"
"2015M01","Italy","Total","Total","From 18 to 34 years","Asylum applicant","Person","3 885"
"2015M01","Italy","Total","Total","From 18 to 34 years","First time applicant","Person","3 855"
"2015M01","Italy","Total","Total","From 35 to 64 years","Asylum applicant","Person","495"
"2015M01","Italy","Total","Total","From 35 to 64 years","First time applicant","Person","480"
"2015M01","Italy","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Italy","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Cyprus","Total","Total","Less than 14 years","Asylum applicant","Person","25"
"2015M01","Cyprus","Total","Total","Less than 14 years","First time applicant","Person","25"
"2015M01","Cyprus","Total","Total","From 14 to 17 years","Asylum applicant","Person","10"
"2015M01","Cyprus","Total","Total","From 14 to 17 years","First time applicant","Person","10"
"2015M01","Cyprus","Total","Total","From 18 to 34 years","Asylum applicant","Person","80"
"2015M01","Cyprus","Total","Total","From 18 to 34 years","First time applicant","Person","75"
"2015M01","Cyprus","Total","Total","From 35 to 64 years","Asylum applicant","Person","45"
"2015M01","Cyprus","Total","Total","From 35 to 64 years","First time applicant","Person","45"
"2015M01","Cyprus","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Cyprus","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Latvia","Total","Total","Less than 14 years","Asylum applicant","Person","5"
"2015M01","Latvia","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M01","Latvia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Latvia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Latvia","Total","Total","From 18 to 34 years","Asylum applicant","Person","10"
"2015M01","Latvia","Total","Total","From 18 to 34 years","First time applicant","Person","10"
"2015M01","Latvia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M01","Latvia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M01","Latvia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Latvia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Lithuania","Total","Total","Less than 14 years","Asylum applicant","Person","10"
"2015M01","Lithuania","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M01","Lithuania","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Lithuania","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Lithuania","Total","Total","From 18 to 34 years","Asylum applicant","Person","10"
"2015M01","Lithuania","Total","Total","From 18 to 34 years","First time applicant","Person","5"
"2015M01","Lithuania","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M01","Lithuania","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M01","Lithuania","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Lithuania","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Luxembourg","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M01","Luxembourg","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M01","Luxembourg","Total","Total","From 14 to 17 years","Asylum applicant","Person","10"
"2015M01","Luxembourg","Total","Total","From 14 to 17 years","First time applicant","Person","10"
"2015M01","Luxembourg","Total","Total","From 18 to 34 years","Asylum applicant","Person","40"
"2015M01","Luxembourg","Total","Total","From 18 to 34 years","First time applicant","Person","35"
"2015M01","Luxembourg","Total","Total","From 35 to 64 years","Asylum applicant","Person","20"
"2015M01","Luxembourg","Total","Total","From 35 to 64 years","First time applicant","Person","20"
"2015M01","Luxembourg","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Luxembourg","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Hungary","Total","Total","Less than 14 years","Asylum applicant","Person","2 405"
"2015M01","Hungary","Total","Total","Less than 14 years","First time applicant","Person","2 375"
"2015M01","Hungary","Total","Total","From 14 to 17 years","Asylum applicant","Person","790"
"2015M01","Hungary","Total","Total","From 14 to 17 years","First time applicant","Person","785"
"2015M01","Hungary","Total","Total","From 18 to 34 years","Asylum applicant","Person","6 665"
"2015M01","Hungary","Total","Total","From 18 to 34 years","First time applicant","Person","6 475"
"2015M01","Hungary","Total","Total","From 35 to 64 years","Asylum applicant","Person","2 050"
"2015M01","Hungary","Total","Total","From 35 to 64 years","First time applicant","Person","2 000"
"2015M01","Hungary","Total","Total","65 years or over","Asylum applicant","Person","15"
"2015M01","Hungary","Total","Total","65 years or over","First time applicant","Person","15"
"2015M01","Malta","Total","Total","Less than 14 years","Asylum applicant","Person","10"
"2015M01","Malta","Total","Total","Less than 14 years","First time applicant","Person","10"
"2015M01","Malta","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Malta","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Malta","Total","Total","From 18 to 34 years","Asylum applicant","Person","45"
"2015M01","Malta","Total","Total","From 18 to 34 years","First time applicant","Person","35"
"2015M01","Malta","Total","Total","From 35 to 64 years","Asylum applicant","Person","30"
"2015M01","Malta","Total","Total","From 35 to 64 years","First time applicant","Person","20"
"2015M01","Malta","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Malta","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Netherlands","Total","Total","Less than 14 years","Asylum applicant","Person","150"
"2015M01","Netherlands","Total","Total","Less than 14 years","First time applicant","Person","125"
"2015M01","Netherlands","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M01","Netherlands","Total","Total","From 14 to 17 years","First time applicant","Person","50"
"2015M01","Netherlands","Total","Total","From 18 to 34 years","Asylum applicant","Person","530"
"2015M01","Netherlands","Total","Total","From 18 to 34 years","First time applicant","Person","460"
"2015M01","Netherlands","Total","Total","From 35 to 64 years","Asylum applicant","Person","300"
"2015M01","Netherlands","Total","Total","From 35 to 64 years","First time applicant","Person","245"
"2015M01","Netherlands","Total","Total","65 years or over","Asylum applicant","Person","15"
"2015M01","Netherlands","Total","Total","65 years or over","First time applicant","Person","15"
"2015M01","Austria","Total","Total","Less than 14 years","Asylum applicant","Person","755"
"2015M01","Austria","Total","Total","Less than 14 years","First time applicant","Person","735"
"2015M01","Austria","Total","Total","From 14 to 17 years","Asylum applicant","Person","475"
"2015M01","Austria","Total","Total","From 14 to 17 years","First time applicant","Person","475"
"2015M01","Austria","Total","Total","From 18 to 34 years","Asylum applicant","Person","2 065"
"2015M01","Austria","Total","Total","From 18 to 34 years","First time applicant","Person","1 970"
"2015M01","Austria","Total","Total","From 35 to 64 years","Asylum applicant","Person","710"
"2015M01","Austria","Total","Total","From 35 to 64 years","First time applicant","Person","670"
"2015M01","Austria","Total","Total","65 years or over","Asylum applicant","Person","25"
"2015M01","Austria","Total","Total","65 years or over","First time applicant","Person","25"
"2015M01","Poland","Total","Total","Less than 14 years","Asylum applicant","Person","215"
"2015M01","Poland","Total","Total","Less than 14 years","First time applicant","Person","160"
"2015M01","Poland","Total","Total","From 14 to 17 years","Asylum applicant","Person","20"
"2015M01","Poland","Total","Total","From 14 to 17 years","First time applicant","Person","20"
"2015M01","Poland","Total","Total","From 18 to 34 years","Asylum applicant","Person","230"
"2015M01","Poland","Total","Total","From 18 to 34 years","First time applicant","Person","190"
"2015M01","Poland","Total","Total","From 35 to 64 years","Asylum applicant","Person","140"
"2015M01","Poland","Total","Total","From 35 to 64 years","First time applicant","Person","115"
"2015M01","Poland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Poland","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Portugal","Total","Total","Less than 14 years","Asylum applicant","Person","5"
"2015M01","Portugal","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M01","Portugal","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Portugal","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Portugal","Total","Total","From 18 to 34 years","Asylum applicant","Person","20"
"2015M01","Portugal","Total","Total","From 18 to 34 years","First time applicant","Person","20"
"2015M01","Portugal","Total","Total","From 35 to 64 years","Asylum applicant","Person","15"
"2015M01","Portugal","Total","Total","From 35 to 64 years","First time applicant","Person","15"
"2015M01","Portugal","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Portugal","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Romania","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M01","Romania","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M01","Romania","Total","Total","From 14 to 17 years","Asylum applicant","Person","10"
"2015M01","Romania","Total","Total","From 14 to 17 years","First time applicant","Person","10"
"2015M01","Romania","Total","Total","From 18 to 34 years","Asylum applicant","Person","55"
"2015M01","Romania","Total","Total","From 18 to 34 years","First time applicant","Person","55"
"2015M01","Romania","Total","Total","From 35 to 64 years","Asylum applicant","Person","20"
"2015M01","Romania","Total","Total","From 35 to 64 years","First time applicant","Person","15"
"2015M01","Romania","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Romania","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Slovenia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M01","Slovenia","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M01","Slovenia","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M01","Slovenia","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M01","Slovenia","Total","Total","From 18 to 34 years","Asylum applicant","Person","5"
"2015M01","Slovenia","Total","Total","From 18 to 34 years","First time applicant","Person","5"
"2015M01","Slovenia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M01","Slovenia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M01","Slovenia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Slovenia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Slovakia","Total","Total","Less than 14 years","Asylum applicant","Person","5"
"2015M01","Slovakia","Total","Total","Less than 14 years","First time applicant","Person","5"
"2015M01","Slovakia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Slovakia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Slovakia","Total","Total","From 18 to 34 years","Asylum applicant","Person","5"
"2015M01","Slovakia","Total","Total","From 18 to 34 years","First time applicant","Person","5"
"2015M01","Slovakia","Total","Total","From 35 to 64 years","Asylum applicant","Person","5"
"2015M01","Slovakia","Total","Total","From 35 to 64 years","First time applicant","Person","5"
"2015M01","Slovakia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Slovakia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Finland","Total","Total","Less than 14 years","Asylum applicant","Person","40"
"2015M01","Finland","Total","Total","Less than 14 years","First time applicant","Person","40"
"2015M01","Finland","Total","Total","From 14 to 17 years","Asylum applicant","Person","20"
"2015M01","Finland","Total","Total","From 14 to 17 years","First time applicant","Person","20"
"2015M01","Finland","Total","Total","From 18 to 34 years","Asylum applicant","Person","180"
"2015M01","Finland","Total","Total","From 18 to 34 years","First time applicant","Person","180"
"2015M01","Finland","Total","Total","From 35 to 64 years","Asylum applicant","Person","60"
"2015M01","Finland","Total","Total","From 35 to 64 years","First time applicant","Person","60"
"2015M01","Finland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Finland","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Sweden","Total","Total","Less than 14 years","Asylum applicant","Person","940"
"2015M01","Sweden","Total","Total","Less than 14 years","First time applicant","Person","855"
"2015M01","Sweden","Total","Total","From 14 to 17 years","Asylum applicant","Person","570"
"2015M01","Sweden","Total","Total","From 14 to 17 years","First time applicant","Person","550"
"2015M01","Sweden","Total","Total","From 18 to 34 years","Asylum applicant","Person","2 185"
"2015M01","Sweden","Total","Total","From 18 to 34 years","First time applicant","Person","1 895"
"2015M01","Sweden","Total","Total","From 35 to 64 years","Asylum applicant","Person","1 115"
